content_id,user_id,event_type,event_ts,duration_ms,device,raw_payload
78600362-d470-46ad-993c-039ae575e861,9034b03c-8331-4785-b805-e35d47fad781,pause,2026-01-11T18:38:18.750706Z,189931,web-safari,"{""country"": ""SA"", ""city"": ""Riyadh"", ""language"": ""ar"", ""user_type"": ""registered"", ""is_subscribed"": true, ""trial_user"": false, ""autoplay"": false, ""is_background_play"": false}"
78600362-d470-46ad-993c-039ae575e861,f4d3e339-929a-4372-acac-8d64e14c510d,click,2026-01-11T18:21:18.750727Z,,android,"{""country"": ""SA"", ""city"": ""Riyadh"", ""language"": ""ar"", ""user_type"": ""registered"", ""is_subscribed"": true, ""trial_user"": false, ""autoplay"": false, ""is_background_play"": true}"
78600362-d470-46ad-993c-039ae575e861,d115ff70-a87f-4680-a47d-2daf85d740e6,click,2026-01-11T18:54:18.750740Z,,android,"{""country"": ""SA"", ""city"": ""Riyadh"", ""language"": ""ar"", ""user_type"": ""registered"", ""is_subscribed"": true, ""trial_user"": false, ""autoplay"": false, ""is_background_play"": true}"
78600362-d470-46ad-993c-039ae575e861,d28e7720-24fd-42b0-98a3-413c8845c8b4,play,2026-01-11T18:03:18.750750Z,,web-safari,"{""country"": ""SA"", ""city"": ""Riyadh"", ""language"": ""ar"", ""user_type"": ""registered"", ""is_subscribed"": true, ""trial_user"": false, ""autoplay"": false, ""is_background_play"": true}"
78600362-d470-46ad-993c-039ae575e861,4589870a-7297-458a-a896-106ae6e8f6ca,click,2026-01-11T17:55:18.750760Z,,android,"{""country"": ""SA"", ""city"": ""Riyadh"", ""language"": ""ar"", ""user_type"": ""registered"", ""is_subscribed"": true, ""trial_user"": false, ""autoplay"": false, ""is_background_play"": false}"
78600362-d470-46ad-993c-039ae575e861,cae7886c-17bd-4c45-a366-15e39449f886,click,2026-01-11T17:57:18.750770Z,,web-chrome,"{""country"": ""SA"", ""city"": ""Riyadh"", ""language"": ""ar"", ""user_type"": ""registered"", ""is_subscribed"": true, ""trial_user"": false, ""autoplay"": false, ""is_background_play"": true}"
78600362-d470-46ad-993c-039ae575e861,3d588f62-719f-4887-8bb2-879cae124526,finish,2026-01-11T18:15:18.750779Z,125252,web-safari,"{""country"": ""SA"", ""city"": ""Riyadh"", ""language"": ""ar"", ""user_type"": ""registered"", ""is_subscribed"": true, ""trial_user"": false, ""autoplay"": false, ""is_background_play"": false}"
78600362-d470-46ad-993c-039ae575e861,526c9725-0e6b-4a5c-a8b3-174dc53d7e18,finish,2026-01-11T18:17:18.750789Z,,web-safari,"{""country"": ""SA"", ""city"": ""Riyadh"", ""language"": ""ar"", ""user_type"": ""registered"", ""is_subscribed"": true, ""trial_user"": false, ""autoplay"": false, ""is_background_play"": true}"
78600362-d470-46ad-993c-039ae575e861,db280438-654c-4341-a0f3-2987aad84cb3,play,2026-01-11T18:16:18.750798Z,69455,web-safari,"{""country"": ""SA"", ""city"": ""Riyadh"", ""language"": ""ar"", ""user_type"": ""registered"", ""is_subscribed"": true, ""trial_user"": false, ""autoplay"": false, ""is_background_play"": false}"
78600362-d470-46ad-993c-039ae575e861,8c8afc73-227d-43f3-8c38-e3a0d9c04572,play,2026-01-11T18:14:18.750808Z,154975,web-safari,"{""country"": ""SA"", ""city"": ""Riyadh"", ""language"": ""ar"", ""user_type"": ""registered"", ""is_subscribed"": true, ""trial_user"": false, ""autoplay"": false, ""is_background_play"": true}"
